Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","511","Population totale","S2501","Population","2018","2018","1000 personnes","33703","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","511","Population totale","S2501","Population","2018","2018","1000 personnes","2951.74","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","031","Azerbaïdjan","511","Population totale","S2501","Population","2018","2018","1000 personnes","9949.54","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","196","Chypre","511","Population totale","S2501","Population","2018","2018","1000 personnes","1189","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","784","Émirats arabes unis","511","Population totale","S2501","Population","2018","2018","1000 personnes","9630.96","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","268","Géorgie","511","Population totale","S2501","Population","2018","2018","1000 personnes","4002.94","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","368","Iraq","511","Population totale","S2501","Population","2018","2018","1000 personnes","32965","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","376","Israël","511","Population totale","S2501","Population","2018","2018","1000 personnes","8382","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","400","Jordanie","511","Population totale","S2501","Population","2018","2018","1000 personnes","9965","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","414","Koweït","511","Population totale","S2501","Population","2018","2018","1000 personnes","4137","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","422","Liban","511","Population totale","S2501","Population","2018","2018","1000 personnes","6859","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","512","Oman","511","Population totale","S2501","Population","2018","2018","1000 personnes","4829","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","760","République arabe syrienne","511","Population totale","S2501","Population","2018","2018","1000 personnes","16945","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","792","Turquie","511","Population totale","S2501","Population","2018","2018","1000 personnes","82340","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","887","Yémen","511","Population totale","S2501","Population","2018","2018","1000 personnes","28499","X","Ciffre de sources internationales"
