Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","511","Population totale","S2501","Population","2018","2018","1000 personnes","96","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","044","Bahamas","511","Population totale","S2501","Population","2018","2018","1000 personnes","386","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","052","Barbade","511","Population totale","S2501","Population","2018","2018","1000 personnes","287","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","192","Cuba","511","Population totale","S2501","Population","2018","2018","1000 personnes","11338","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","212","Dominique","511","Population totale","S2501","Population","2018","2018","1000 personnes","72","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","308","Grenade","511","Population totale","S2501","Population","2018","2018","1000 personnes","111","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","332","Haïti","511","Population totale","S2501","Population","2018","2018","1000 personnes","11123","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","388","Jamaïque","511","Population totale","S2501","Population","2018","2018","1000 personnes","2935","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","214","République dominicaine","511","Population totale","S2501","Population","2018","2018","1000 personnes","10627","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","662","Sainte-Lucie","511","Population totale","S2501","Population","2018","2018","1000 personnes","182","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","659","Saint-Kitts-et-Nevis","511","Population totale","S2501","Population","2018","2018","1000 personnes","52","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","670","Saint-Vincent-et-les Grenadines","511","Population totale","S2501","Population","2018","2018","1000 personnes","110","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","780","Trinité-et-Tobago","511","Population totale","S2501","Population","2018","2018","1000 personnes","1390","X","Ciffre de sources internationales"
