Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","112","Bélarus","511","Population totale","S2501","Population","2018","2018","1000 personnes","9453","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","100","Bulgarie","511","Population totale","S2501","Population","2018","2018","1000 personnes","7052","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","643","Fédération de Russie","511","Population totale","S2501","Population","2018","2018","1000 personnes","145734","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","348","Hongrie","511","Population totale","S2501","Population","2018","2018","1000 personnes","9707","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","616","Pologne","511","Population totale","S2501","Population","2018","2018","1000 personnes","37922","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","498","République de Moldova","511","Population totale","S2501","Population","2018","2018","1000 personnes","4052","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","642","Roumanie","511","Population totale","S2501","Population","2018","2018","1000 personnes","19506","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","703","Slovaquie","511","Population totale","S2501","Population","2018","2018","1000 personnes","5453","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","203","Tchéquie","511","Population totale","S2501","Population","2018","2018","1000 personnes","10666","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","804","Ukraine","511","Population totale","S2501","Population","2018","2018","1000 personnes","44246","X","Ciffre de sources internationales"
