Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","008","Albanie","511","Population totale","S2501","Population","2018","2018","1000 personnes","2883","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","070","Bosnie-Herzégovine","511","Population totale","S2501","Population","2018","2018","1000 personnes","3324","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","191","Croatie","511","Population totale","S2501","Population","2018","2018","1000 personnes","4156","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","724","Espagne","511","Population totale","S2501","Population","2018","2018","1000 personnes","46693","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","300","Grèce","511","Population totale","S2501","Population","2018","2018","1000 personnes","10522","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","380","Italie","511","Population totale","S2501","Population","2018","2018","1000 personnes","60627","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","807","Macédoine du Nord","511","Population totale","S2501","Population","2018","2018","1000 personnes","2083","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","470","Malte","511","Population totale","S2501","Population","2018","2018","1000 personnes","439","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","499","Monténégro","511","Population totale","S2501","Population","2018","2018","1000 personnes","628","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","620","Portugal","511","Population totale","S2501","Population","2018","2018","1000 personnes","10256","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","688","Serbie","511","Population totale","S2501","Population","2018","2018","1000 personnes","8803","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","705","Slovénie","511","Population totale","S2501","Population","2018","2018","1000 personnes","2078","X","Ciffre de sources internationales"
